40665033,15.00,0.00,0.00,4.98,0,0
40693015,15.00,0.66,0.00,4.90,76,64
40721027,15.00,2.09,1.64,4.93,78,65
40749006,15.00,3.83,3.47,4.96,77,65
40777016,15.00,5.56,5.37,4.97,77,65
40804995,15.00,7.07,7.07,4.98,76,64
40833004,15.00,8.37,8.49,4.98,76,64
40860983,15.00,9.54,9.73,4.98,76,64
40888992,15.00,10.41,10.66,4.98,76,64
40916971,15.00,11.24,11.53,4.97,76,64
40944980,15.00,11.86,12.22,4.96,76,64
40972959,15.00,12.71,12.82,4.97,77,65
41000968,15.00,13.03,13.27,4.98,76,64
41028947,15.00,13.26,13.65,4.96,76,64
41056957,15.00,13.47,13.95,4.95,77,64
41084935,15.00,13.66,14.19,4.96,77,65
41112945,15.00,13.82,14.38,4.95,77,65
41140923,15.00,13.94,14.54,4.96,77,65
41168933,15.00,14.04,14.70,4.95,77,65
41196942,15.00,14.11,14.85,4.95,77,65
41224921,15.00,14.18,14.96,4.95,77,65
41252900,15.00,14.27,15.07,4.96,77,65
41280909,15.00,14.29,15.13,4.96,77,65
41308918,15.00,14.92,15.22,4.95,77,65
41336897,15.00,14.68,15.28,4.97,77,65
41364906,15.00,14.53,15.37,4.96,76,64
41392885,15.00,14.47,15.38,4.96,77,65
41420895,15.00,14.41,15.40,4.96,77,65
41448873,15.00,15.05,15.43,4.96,77,65
41476882,15.00,14.81,15.51,4.96,77,65
41504861,15.00,14.65,15.52,4.96,77,65
41532871,15.00,14.94,15.55,4.96,77,65
41560849,15.00,15.28,15.59,4.96,77,65
41588859,15.00,14.90,15.58,4.95,77,65
41616837,15.00,14.68,15.59,4.96,77,65
41644847,15.00,15.20,15.65,4.95,77,65
41672825,15.00,14.88,15.62,4.96,77,65
41700835,15.00,15.27,15.63,4.95,77,65
41728814,15.00,14.95,15.68,4.95,77,65
41756823,15.00,14.76,15.66,4.95,77,65
41784802,15.00,14.65,15.70,4.95,77,65
41812811,15.00,14.58,15.70,4.95,77,65
41840803,15.00,14.50,15.68,4.95,77,65
41868799,15.00,14.47,15.73,4.95,77,65
41896778,15.00,14.46,15.73,4.95,77,65
41924787,15.00,14.46,15.67,4.95,77,65
41952766,15.00,14.47,15.69,4.96,77,65
41980775,15.00,14.46,15.68,4.96,77,65
42008754,15.00,14.43,15.72,4.96,77,65
42036763,15.00,14.79,15.77,4.96,77,65
42064742,15.00,15.01,15.75,4.97,77,65
42092751,15.00,14.74,15.78,4.96,76,64
42120730,15.00,14.61,15.76,4.96,77,65
42148739,15.00,14.55,15.70,4.96,77,65
